"","State_FIPS_Code","Postal_Code","State_Name","Poverty_Estimate_All_Ages","Poverty_Percent_All_Ages","Poverty_Estimate_Age_0_to_17","Poverty_Percent_Age_0_to_17","Poverty_Estimate_Age_5_to_17_in_Families","Poverty_Percent_Age_5_to_17_in_Families","Median_Household_Income","Poverty_Estimate_Age_0_to_4","Poverty_Percent_Age_0_to_4"
"1",0,"US","United States",41852315,13.1,12997532,18,8930152,17,61937,3758704,19.5
"2",1,"AL","Alabama",801758,16.8,255613,23.9,178175,22.8,49881,73915,26
"3",2,"AK","Alaska",80224,11.1,26096,14.5,16827,13.2,74912,8255,15.9
"4",4,"AZ","Arizona",990291,14.1,328780,20.4,227586,19.2,59079,95415,22.4
"5",5,"AR","Arkansas",492306,16.8,164056,23.8,110333,22.1,47094,50658,27.2
"6",6,"CA","California",4972955,12.8,1539628,17.4,1086618,16.9,75250,416678,17.5
"7",8,"CO","Colorado",540579,9.7,151618,12.1,105173,11.5,71949,40263,12.2
"8",9,"CT","Connecticut",358519,10.3,100250,13.8,70910,13,76366,26438,14.8
"9",10,"DE","Delaware",114691,12.2,35031,17.6,24091,16.5,65467,9997,19
"10",11,"DC","District of Columbia",107806,16.1,30803,24.5,20062,24.8,82533,10267,23
"11",12,"FL","Florida",2854438,13.7,831420,20,569270,18.8,55433,242357,21.8
"12",13,"GA","Georgia",1484439,14.5,516311,21,360513,19.9,58634,145780,22.7
"13",15,"HI","Hawaii",124400,9,35184,11.8,22819,10.8,80527,10956,13
"14",16,"ID","Idaho",201804,11.7,62392,14.2,41467,12.8,55524,18876,16.6
"15",17,"IL","Illinois",1509348,12.1,457282,16.2,314467,15.3,65063,131558,17.7
"16",18,"IN","Indiana",844165,13,268470,17.5,180400,16.2,55725,79691,19.7
"17",19,"IA","Iowa",342574,11.2,96859,13.5,64851,12.5,60071,28245,14.5
"18",20,"KS","Kansas",336892,11.9,102616,14.8,68153,13.5,58150,31157,16.9
"19",21,"KY","Kentucky",723053,16.7,219283,22.3,150539,21.2,50189,64298,24.2
"20",22,"LA","Louisiana",848005,18.7,286532,26.5,196348,25.2,48021,87660,29.2
"21",23,"ME","Maine",151458,11.6,35960,14.8,24279,13.6,55579,9894,15.9
"22",24,"MD","Maryland",538824,9.1,159872,12.1,111001,11.6,83076,43605,12.3
"23",25,"MA","Massachusetts",668402,10,166516,12.4,114731,11.6,79817,46225,13.2
"24",26,"MI","Michigan",1369235,14,409201,19.3,278372,17.9,56640,121410,21.8
"25",27,"MN","Minnesota",527445,9.6,147732,11.5,100105,10.8,70295,42125,12.1
"26",28,"MS","Mississippi",571402,19.8,195794,28.2,138665,27,44740,55423,30.8
"27",29,"MO","Missouri",785343,13.2,245703,18.3,166723,17.1,54412,71760,19.9
"28",30,"MT","Montana",134185,12.9,36711,16.4,23935,14.8,55248,11216,18.4
"29",31,"NE","Nebraska",205393,11,60389,12.9,38488,11.5,59724,19474,15
"30",32,"NV","Nevada",391347,13.1,124828,18.4,84145,17.1,58740,37131,20.5
"31",33,"NH","New Hampshire",100076,7.6,25379,10.1,17007,9,75322,7159,11.6
"32",34,"NJ","New Jersey",831386,9.5,261055,13.5,179815,12.7,81777,76035,15
"33",35,"NM","New Mexico",386739,18.8,119378,25.3,83411,24,47405,32929,27.2
"34",36,"NY","New York",2603303,13.7,751694,18.8,511149,17.8,67648,220997,19.9
"35",37,"NC","North Carolina",1422154,14.1,457103,20.2,314320,19,53922,129669,21.8
"36",38,"ND","North Dakota",77959,10.6,19332,11,11823,9.6,65250,6936,13
"37",39,"OH","Ohio",1568586,13.8,489053,19.2,329764,17.8,56155,149036,22.1
"38",40,"OK","Oklahoma",593936,15.5,200399,21.4,135073,19.9,51914,61006,24.3
"39",41,"OR","Oregon",516014,12.5,134073,15.7,88779,14.3,63168,38794,17.1
"40",42,"PA","Pennsylvania",1517936,12.2,433329,16.7,302127,15.9,60891,120441,17.6
"41",44,"RI","Rhode Island",130538,12.8,36239,18,24495,16.7,63787,10747,20.1
"42",45,"SC","South Carolina",750582,15.2,241192,22.1,170543,21.3,52449,67318,23.6
"43",46,"SD","South Dakota",109814,12.9,34211,16.1,22250,14.8,57041,11044,18.4
"44",47,"TN","Tennessee",1003055,15.2,322616,21.8,215957,20,52366,100821,25.6
"45",48,"TX","Texas",4181623,14.9,1543228,21.1,1070901,20.2,60632,448638,22.7
"46",49,"UT","Utah",283562,9.1,89015,9.7,59921,9,71381,26242,10.6
"47",50,"VT","Vermont",64431,10.7,13791,12.2,9359,11.3,60917,3420,11.9
"48",51,"VA","Virginia",884898,10.7,253481,13.8,169939,12.8,72600,75718,15.2
"49",53,"WA","Washington",761941,10.3,205912,12.6,137938,11.7,74023,60053,13.3
"50",54,"WV","West Virginia",305656,17.4,82213,23.2,56706,21.8,44038,23534,25.7
"51",55,"WI","Wisconsin",626748,11.1,176595,14.1,118597,12.9,60779,51903,16
"52",56,"WY","Wyoming",60097,10.7,17314,13.1,11232,11.6,62259,5539,15.9
