Age_Range,Total,Black,White_Non_Hispanic,Other
Total (in thousands),323156,42564,195530,85062
Under 5 years,19929,3031,9750,7147
5 to 9 years,20243,3074,10052,7117
10 to 14 years,20812,3099,10659,7054
15 to 19 years,20908,3107,11071,6729
20 to 24 years,21434,3204,11578,6652
25 to 29 years,23160,3529,12668,6963
30 to 34 years,21695,2977,12269,6449
35 to 44 years,40659,5411,23058,12191
45 to 54 years,41537,5351,26052,10134
55 to 64 years,41700,4945,29243,7512
65 to 74 years,30367,3028,22935,4403
75 to 84 years,14558,1280,11300,1979
85 years and over,6154,526,4896,733
