Year,All_Families,Total_Families_with_Children,Married_with_Children,Total_Single_Parent_Families_with_Children,Mother_Only_with_Children,Father_Only_with_Children
2019,83482,33942,23735,10207,7707,2500
2018,83088,34452,23812,10640,8156,2484
2017,82827,34292,23651,10641,8246,2395
2016,82184,34769,23772,10997,8525,2472
2015,81716,34979,24040,10939,8551,2388
2013,80902,35058,23870,11187,8627,2560
2012,80506,34989,23704,11284,8869,2415
2011,78613,34760,23938,10822,8597,2225
2010,78833,35218,24575,10643,8419,2224
2009,78850,35635,25129,10505,8394,2111
2008,77873,35709,25173,10536,8374,2162
2007,78425,36757,26158,10600,8585,2015
2006,77402,36466,25982,10484,8389,2095
2005,76858,36211,25919,10291,8270,2021
2004,76217,35944,25793,10152,8221,1931
2003,75596,35968,25914,10054,8139,1915
2002,74329,35705,25792,9913,8010,1903
2001,73767,35355,25980,9374,7538,1836
2000,72025,34605,25248,9357,7571,1786
1999,71535,34613,25066,9547,7841,1706
1998,70880,34760,25269,9491,7693,1798
1997,70241,34665,25083,9583,7874,1709
1996,69594,34203,24920,9284,7656,1628
1995,69305,34296,25241,9055,7615,1440
1994,68490,34018,25058,8961,7647,1314
1993,68144,33257,24707,8550,7226,1324
1992,67173,32746,24420,8326,7043,1283
1991,66322,32401,24397,8004,6823,1181
1990,66090,32289,24537,7752,6599,1153
1989,65837,32322,24735,7587,6519,1068
1988,65133,31920,24600,7320,6273,1047
1987,64491,31898,24646,7252,6297,955
1986,63558,31670,24630,7040,6105,935
1985,62706,31112,24210,6902,6006,896
1984,61997,31046,24340,6706,5907,799
1983,61393,30818,24363,6455,5718,737
1982,61019,31012,24465,6547,5868,679
1981,60309,31227,24927,6300,5634,666
1980,58426,30517,24568,5949,5340,609
1979,57804,30371,24514,5857,5288,569
1978,57215,30369,24625,5744,5206,539
1977,56710,30145,24875,5270,4784,486
1976,56245,30177,25110,5067,4621,446
1975,55712,30057,25169,4888,4404,484
1974,55053,29750,25278,4472,4081,391
1973,54373,29571,25387,4184,3798,386
1972,53296,29445,25482,3963,3598,365
1971,52227,28786,25091,3695,3365,331
1970,51237,28665,25406,3260,2925,335
1969,50823,28347,25136,3211,2888,323
1968,50111,27964,24895,3069,2772,297
1967,49214,27561,24646,2915,2584,331
1966,48509,27004,24276,2728,2450,278
1965,47956,27140,24406,2734,2485,249
1964,47540,27068,24439,2629,2361,268
1963,47059,26911,24321,2590,2229,361
1962,46418,26271,23788,2483,2229,254
1961,45539,25889,23514,2375,2185,190
1960,45111,25690,23358,2332,2099,232
1959,44232,25069,22894,2175,1943,232
1958,43696,24541,22426,2115,1822,293
1957,43497,24260,22139,2121,1855,265
1956,42889,23743,21631,2112,1814,298
1955,41951,23190,21064,2126,1870,256
1954,41263,22544,20645,1899,1615,283
1953,40877,21718,19920,1798,1521,277
1952,40608,21353,19606,1747,1514,233
1951,39944,21279,19389,1890,1659,231
1950,39303,20324,18824,1500,1272,229
