Age_Range,All_Genders,Male,Female
Total (in thousands),320372,156939,163433
Under 5 years,19954,10201,9752
5 to 9 years,20349,10388,9961
10 to 14 years,20667,10538,10129
15 to 19 years,20891,10608,10282
20 to 24 years,21591,10879,10713
25 to 29 years,22745,11410,11335
30 to 34 years,21505,10711,10795
35 to 39 years,20773,10281,10492
40 to 44 years,19273,9454,9819
45 to 49 years,20662,10118,10543
50 to 54 years,21364,10449,10915
55 to 59 years,21837,10587,11250
60 to 64 years,19488,9154,10334
65 to 69 years,16750,7907,8843
70 to 74 years,12462,5759,6702
75 to 79 years,8545,3877,4668
80 to 84 years,5645,2438,3207
85 years and over,5872,2178,3694
