"","Year_and_Quarter","United_States","Inside_MSAs","Inside_Principal_Cities","Inside_Suburbs","Outside_MSAs","Northeast","Midwest","South","West"
"1",1957,6.2,4.8,NA,NA,8.9,3.3,5.2,7.9,9.7
"2",1957.25,5.9,4.8,NA,NA,8.1,2.7,5.3,8.1,9.3
"3",1957.5,6.3,5.1,NA,NA,8.3,3.3,6.3,8.5,8.3
"4",1957.75,5.8,4.6,NA,NA,8,3.1,5.6,8.1,7.4
"5",1958,5.3,4.2,NA,NA,7.1,3.5,5,6.4,6.9
"6",1958.25,5.3,4.1,NA,NA,7.5,3.3,4.8,6.4,7.9
"7",1958.5,5.7,4.7,NA,NA,7.2,3.6,5.8,6.6,7.5
"8",1958.75,5.8,4.4,NA,NA,8.5,3.5,6.1,7.1,7.3
"9",1959,6.3,4.9,NA,NA,8.8,3.7,7,7.8,7.1
"10",1959.25,6.5,5.2,NA,NA,9.2,3.7,7.5,8,8
"11",1959.5,6.3,5.2,NA,NA,8.3,3.7,7.2,7.4,7.9
"12",1959.75,6.6,5,NA,NA,9.3,3.9,7.6,8.3,6.7
"13",1960,6.8,5.1,NA,NA,9.7,3.9,7.6,9,6.9
"14",1960.25,7.3,5.5,NA,NA,10.7,3.7,6.9,10,9.5
"15",1960.5,7.2,5.4,NA,NA,10.2,3.8,6.7,9.7,9
"16",1960.75,7,5.7,NA,NA,9.4,3.9,7.3,8.9,8.9
"17",1961,8,6.6,NA,NA,10.4,5.1,8.3,9.4,10.1
"18",1961.25,8,6.8,NA,NA,10.4,4.9,8.1,9.2,11.1
"19",1961.5,8.3,7.4,NA,NA,9.9,5,8.6,9.8,10.7
"20",1961.75,8.4,7.2,NA,NA,10.5,4.5,8.3,9.8,12.3
"21",1962,8.9,7.8,NA,NA,10.6,5.3,9.2,10.1,11.4
"22",1962.25,8.8,7.8,NA,NA,11,5,9.5,10.7,11.2
"23",1962.5,8.6,7.5,NA,NA,10.6,4.9,9,10.8,9.9
"24",1962.75,8.5,7.4,NA,NA,10.3,4.4,9.4,10.4,10.2
"25",1963,8.5,8.1,NA,NA,9,5.2,9.9,9.9,8.8
"26",1963.25,8.1,6.8,NA,NA,10.8,4,8.1,10.1,10.8
"27",1963.5,8,7.2,NA,NA,9.4,4.1,8.8,9.8,9.5
"28",1963.75,8.1,7.5,NA,NA,9.5,5.2,9.2,9.8,8.9
"29",1964,8,7.3,NA,NA,9,5.6,8.4,9,8.8
"30",1964.25,8.2,7.8,NA,NA,9.1,4.6,8.6,9.2,11.4
"31",1964.5,8.3,8.5,NA,NA,7.9,5.2,9.5,8.8,10.6
"32",1964.75,8.3,8,NA,NA,8.4,5.3,8.5,9.8,9.7
"33",1965,8.1,8.1,NA,NA,7.7,5.3,9,9.3,9
"34",1965.25,8.1,7.8,NA,NA,8.7,4.9,7.5,9.4,11.2
"35",1965.5,8.4,8.3,NA,NA,8.3,5.5,7.7,9,12.1
"36",1965.75,8.3,8.2,NA,NA,7.9,5.5,7.4,8.8,12
"37",1966,8.5,8.3,8.4,8.2,8.6,6.3,7.8,9.3,11
"38",1966.25,8.2,7.9,7.7,8.1,8.8,5.3,7.1,8.5,12.6
